x,y,class
88.32241027953111,210.81967741680202,2
13.188102400852454,25.135314399617567,0
81.0782395137824,192.83481208532075,2
78.54594297865219,204.39098200445025,2
23.164789163049946,44.30389362229213,0
32.78865459634497,32.83278395337576,0
92.61142882311078,209.55752330910207,2
73.37637505603473,147.98975984004056,1
96.80143974473413,198.09194393657458,2
86.88998394075549,199.2157883288804,2
97.59189588594376,213.38625770532687,2
87.12855185092491,210.88953307143402,2
17.706460652308206,58.831379637864224,0
88.74844604438213,205.50476937840756,2
58.71041582138296,173.17090784624483,1
23.30684731593074,42.38108325254214,0
54.632906112873556,148.48284754404614,1
67.11282222866382,144.74238102327044,1
66.99795266425177,147.885531696242,1
62.74370825955588,148.47389979757804,1
29.698059543037225,33.1433183333864,0
26.436963243291544,34.093602653280115,0
68.55783432160372,157.29056068363118,1
60.52922699634601,144.14270146634217,1
21.75883068907163,22.996175053637298,0
22.61903681543877,22.487533761842716,0
20.066206867638027,19.026265665094236,0
87.74658323814917,185.82505755242596,2
75.56572354274213,188.00065147690108,2
94.30659245474894,190.25977664395293,2
68.33157773506683,153.43238908191674,1
83.03328686305899,187.280026158168,2
64.84134919776393,138.9669124553318,1
55.26778657345981,128.01816470484545,1
87.80082490555756,193.39597100452366,2
70.48608421890683,158.6866670057932,1
84.05619365871591,199.76627945853784,2
84.04711326784067,200.81988218663332,2
29.02417182821999,39.98046001132554,0
89.1266598087817,187.151805819016,2
26.232727966155338,35.912441756611834,0
80.40778282902639,202.20975368287174,2
80.88838038245488,209.6955689193438,2
15.435277422107895,43.63604665491562,0
17.592696117336555,48.806094692797956,0
81.58028042008132,189.1376349981589,2
62.95437181144,131.95992007600617,1
22.17297084328391,22.475792180505994,0
52.8148569772917,159.8047984407797,1
53.451210404873585,132.7236220249775,1
54.50574852918751,162.74046231465678,1
14.175571005534794,35.540148825202785,0
36.83553840017666,170.02511521130313,1
19.574798469275674,35.51381146528148,0
56.556498458392184,145.2744377260621,1
88.03112493104057,200.66969840069098,2
83.92917887394736,195.8538205542285,2
24.052487495751336,44.18067016381,0
104.55234953650249,189.5528005384211,2
84.99549086387307,201.86334367620066,2
71.19756911177879,140.98985842522094,1
21.83324906073647,37.944572898607724,0
60.28335913425947,133.49800212475083,1
57.24701810749735,160.46755264044702,1
59.33426503812806,145.72996650791686,1
69.19672551758902,160.9929011771628,1
50.8953523123479,141.1564889182596,1
57.79994615078839,149.8912759777309,1
69.99200166258002,161.11126986604887,1
24.918573467639987,28.245132651181052,0
83.26448436629855,191.17673388563338,2
58.539264977751635,159.7268417879442,1
65.82406278267221,166.169201980208,1
65.30742495456877,150.19452565996542,1
67.8010761699463,138.36516530474967,1
63.074287105338385,146.18482849080428,1
64.41562518396627,173.63621810864936,1
92.05677853156295,186.66444990381774,2
99.47839846516734,205.27986000554836,2
56.625510564550254,151.50625650112124,1
90.28914697767131,188.4361581038274,2
14.925155838411452,36.86219295762104,0
50.303825865564704,128.3452303584195,1
21.624783505291905,42.88220478421718,0
16.37906867029074,44.33019125100538,0
59.53851517682115,133.60599257630415,1
99.70649586314525,205.56630158783133,2
27.799688511864105,33.348656732135275,0
77.7923582295064,140.93156261801727,1
28.188262541995606,30.246519631030168,0
32.01509095892745,46.61625806636211,0
22.182648339062805,23.26159562631162,0
15.484897086777082,24.10650774433722,0
83.99764458308712,194.07840033428892,2
26.9816530372076,34.42417787112467,0
20.2581325140521,46.26613756631881,0
20.63065757923008,39.088607573753876,0
86.70557347227712,199.1057344191491,2
17.854130301753585,23.801879935337272,0
21.918796448884628,37.69634089221776,0
83.66865905925577,175.92136380554862,2
91.54283079484857,202.37457671936767,2
99.06648117081077,206.77291731893058,2
9.331820791705896,32.204697197875426,0
80.75212873153731,203.75338147088877,2
94.05365976901835,195.60954321696866,2
26.819839368304315,52.32115261952261,0
87.06064361916191,202.2801372920607,2
10.008796924777307,29.61360289406947,0
71.45539339152602,164.05166874061769,1
85.13360908851286,208.2701723437944,2
57.1100292565791,145.05427758236584,1
21.595224361598884,44.95512357216423,0
86.00139976853545,204.7952750866877,2
15.619351364214026,35.74394866038142,0
53.13759845948729,150.78776850182936,1
29.289642804638415,42.445225473528545,0
96.95768153055168,193.2436606956796,2
93.44710404370309,213.46544463277104,2
