x,class
3.005399082957691,0
4.078755429679921,1
1.0164042183685256,0
2.5407879863701606,0
2.286566175022718,0
3.4190745664673843,1
4.030315565439673,1
4.569888007368105,1
1.2802110757117133,0
2.150200503546343,0
3.2286041650908373,1
3.8583418762403556,1
4.0653391356072355,1
2.638903199055254,0
1.5463963397122191,0
3.9327542668030255,1
3.3020167315049846,0
4.687475576893726,1
2.4086222122092455,0
3.2865873155311567,1
1.73919835615476,0
3.528634208020334,1
4.698323340103988,1
2.686797146799306,0
3.69193295411559,1
2.0827920271171902,0
4.046242937380978,1
1.138972980444185,0
1.927903031220038,0
0.9425219604961248,0
4.3114603796605495,1
0.9677239179925883,0
3.8694288671806425,1
3.6786374331639293,1
4.178276607346677,1
3.3222954033103167,1
1.324853928290943,0
2.325056070299992,0
3.55943980239026,1
3.765392194919117,1
2.481807533123406,0
3.7945300243582327,1
1.513969258413376,0
4.0145068669149335,1
2.3060882846773145,0
4.653156704089971,1
4.171017925761306,1
4.315785779889806,1
3.952002831451696,1
1.902602354671999,0
4.578258640776564,1
1.966125805523401,0
1.8819827468622732,0
5.087687795598712,1
4.095465632642237,1
3.406749209832597,1
1.5380394602932734,0
4.032479636445117,1
1.5147456956516854,0
1.3964486397941323,0
2.5345256842276767,0
3.9535209800000075,1
3.5801575865800794,1
2.2368565106371623,0
3.5644168639611036,1
2.3744145591705754,0
1.8315498694030552,0
4.825131902480617,1
3.2893362958083276,1
1.921494116188616,0
1.924541009749967,0
3.5382772712443487,1
4.549471419864046,1
2.0282948620635715,0
3.7212099081875403,1
1.8954955396359137,0
1.0945490717291726,0
4.055541471174808,1
3.0139039506191523,1
3.400203095349738,1
3.7098089591163275,1
1.1202021063679373,0
2.3633540048999935,0
3.6010595340102456,1
1.4972971315196704,0
4.0773500422766835,1
3.68424551328866,1
4.430217659734469,1
4.267562676565701,1
4.299944140762514,1
2.0089990163146996,0
4.124291589776336,1
2.4882456257957632,0
4.081192576562385,1
2.283146946406558,0
1.6011591000151784,0
1.6100199305625946,0
2.680086506962227,0
2.650560610148597,0
3.0906962647295173,1
2.3223194965297353,0
1.9981994985621772,0
1.2857540175142632,0
4.66319095508664,1
2.304586356746869,0
1.1791267812459758,0
3.3728744302298095,1
2.5622246480260125,0
4.137851911862074,1
4.286899977241327,1
4.448439632491522,1
1.827648227703162,0
2.444402990515376,0
4.060411728952385,1
2.099838488484732,0
4.1804573525025805,1
3.550070800719398,1
3.197409401092564,1
4.466493967474482,1
2.2064146488547394,0
3.7060106788766536,1
1.68864552827385,0
2.0119846910513015,0
2.0922137238495475,0
2.7141793080702645,1
1.985216671016689,0
2.2526033883907415,0
4.084305863222829,1
2.800351646235967,0
2.2306733843708755,0
1.6853688803822897,0
1.6276229107114668,0
4.096065507564635,1
2.270491069189962,0
3.9854454160298145,1
3.369195294574326,1
4.1931881020036466,1
4.227263755133208,1
4.2002917166202325,1
2.0148194011548695,0
4.117391792505147,1
4.709965309607501,1
0.84316067054065,0
3.4182502460227235,1
4.754708206567026,1
1.7701036683907587,0
2.174861150456936,0
1.7885026299402642,0
1.6500890671091706,0
4.193340255440065,1
1.9292610960024006,0
2.689555266317263,0
3.847677661557966,1
1.788733852595419,0
3.9347265657673463,1
2.9445458467223826,0
3.859481557655926,1
3.87344141999712,1
