feature_1,feature_2,feature_3,feature_4,feature_5,y
37.454011884736246,95.07143064099162,73.1993941811405,59.86584841970366,15.601864044243651,255.02970195743356
15.599452033620265,5.8083612168199465,86.61761457749351,60.11150117432088,70.80725777960456,122.51349256602988
2.0584494295802447,96.99098521619943,83.24426408004217,21.233911067827616,18.182496720710063,0.8338209173319191
18.34045098534338,30.42422429595377,52.475643163223786,43.194501864211574,29.122914019804192,140.5282681053271
61.18528947223795,13.949386065204184,29.214464853521815,36.63618432936917,45.606998421703594,170.2422443352751
78.51759613930136,19.967378215835975,51.42344384136116,59.24145688620425,4.645041271999773,458.4867154306567
60.75448519014384,17.052412368729154,6.505159298527952,94.88855372533332,96.56320330745594,199.39337576114423
80.83973481164611,30.46137691733707,9.767211400638388,68.42330265121569,44.01524937396013,311.5856302510138
12.203823484477883,49.51769101112702,3.4388521115218396,90.9320402078782,25.87799816000169,272.00635256229265
66.2522284353982,31.171107608941096,52.00680211778108,54.67102793432797,18.485445552552704,346.04973038793577
96.95846277645586,77.51328233611146,93.9498941564189,89.48273504276489,59.78999788110851,407.2416938031673
92.18742350231169,8.84925020519195,19.59828624191452,4.522728891053807,32.53303307632643,148.31206179713837
38.8677289689482,27.134903177389592,82.87375091519293,35.67533266935893,28.093450968738075,203.94663548308623
54.26960831582485,14.092422497476264,80.21969807540397,7.455064367977082,98.68869366005173,-124.75036515246742
77.22447692966574,19.87156815341724,0.5522117123602399,81.54614284548342,70.68573438476172,270.2119338286684
72.90071680409874,77.12703466859458,7.4044651734090365,35.84657285442726,11.586905952512971,215.41611391938667
86.31034258755935,62.329812682755794,33.08980248526492,6.355835028602364,31.09823217156622,98.22262160954797
32.518332202674706,72.96061783380641,63.75574713552131,88.72127425763266,47.22149251619493,264.8320111047762
11.959424593830171,71.3244787222995,76.07850486168974,56.127719756949624,77.0967179954561,-29.10689288012419
49.379559636439076,52.27328293819941,42.75410183585496,2.541912674409519,10.789142699330444,84.90510529217948
3.142918568673425,63.64104112637804,31.435598107632668,50.85706911647028,90.7566473926093,-140.71455352586545
24.929222914887493,41.038292303562976,75.55511385430486,22.879816549162246,7.697990982879299,156.86829527619312
28.9751452913768,16.122128725400444,92.96976523425731,80.8120379564417,63.34037565104234,269.7005865901307
87.14605901877177,80.36720768991145,18.657005888603585,89.25589984899777,53.93422419156507,335.374805054858
80.74401551640625,89.60912999234932,31.800347497186387,11.005192452767677,22.793516254194166,98.10552284387124
42.71077886262563,81.80147659224932,86.07305832563435,0.6952130531190703,51.07473025775657,-92.48958858035618
41.7411003148779,22.210781047073024,11.98653673336828,33.7615171403628,94.29097039125192,-100.12792631211572
32.320293202075526,51.87906217433661,70.30189588951778,36.3629602379294,97.17820827209607,-119.00296752282212
96.24472949421113,25.178229582536417,49.72485058923854,30.087830981676966,28.484049437746762,287.43805184046323
3.6886947354532795,60.956433397989684,50.26790232288615,5.147875124998935,27.864646423661142,-93.31401605821881
90.82658859666537,23.95618906669724,14.48948720912231,48.9452760277563,98.56504541106007,60.58893824752972
24.20552715115004,67.21355474058785,76.16196153287176,23.763754399239968,72.82163486118596,-104.53765022432364
36.77831327192532,63.23058305935795,63.35297107608947,53.57746840747585,9.02897700544083,281.7683490920338
83.5302495589238,32.07800649717358,18.651851039985424,4.077514155476392,59.08929431882418,0.04506145155787955
67.75643618422824,1.6587828927856152,51.2093058299281,22.649577519793795,64.51727904094498,80.77667707516237
17.436642900499145,69.09377381024659,38.67353463005374,93.67299887367345,13.752094414599325,362.32180342864405
